Name Vorname,Anzahl erhaltene Stimmen,Ausgeteilte Wahlzettel,Eingegangene Wahlzettel,Leer,Ungültig,Absolutes Mehr,Stimmenanteil,Wahlgang,Datum,Partei
"Deiss, Joseph",120,244,244,5,0,120,49.18,6,1999-03-11T00:00:00Z,Die Mitte
"Schmid, Samuel",121,244,244,10,2,117,49.59,6,2000-12-06T00:00:00Z,SVP
"Leuenberger, Moritz",124,244,244,33,1,106,50.82,5,1995-09-27T00:00:00Z,SP
"Calmy-Rey, Micheline",131,245,244,44,1,100,53.69,5,2002-12-04T00:00:00Z,SP
"Schneider-Ammann, Johann N.",144,245,245,6,2,119,58.78,5,2010-09-22T00:00:00Z,SVP
"Couchepin, Pascal",146,246,246,7,1,120,59.35,5,1998-03-11T00:00:00Z,FDP
"Bonvin, Roger",142,234,233,4,2,114,60.94,5,1962-09-07T00:00:00Z,Die Mitte
"Metzler-Arnold, Ruth",126,245,244,0,0,123,51.64,4,1999-03-11T00:00:00Z,Die Mitte
"Burkhalter, Didier",129,245,245,5,1,120,52.65,4,2009-09-16T00:00:00Z,FDP
"Sommaruga, Simonetta",159,245,245,3,2,121,64.9,4,2010-09-22T00:00:00Z,SP
"Blocher, Christoph",121,246,246,5,4,119,49.19,3,2003-12-10T00:00:00Z,SVP
"Maurer, Ueli",122,244,244,1,0,122,50,3,2008-12-10T00:00:00Z,SVP
"Baume-Schneider, Elisabeth",123,245,245,0,0,123,50.2,3,2022-12-07T00:00:00Z,SP
"Tschudi, Hans-Peter",129,235,235,5,0,116,54.89,3,1959-12-17T00:00:00Z,SP
"Parmelin, Guy",138,243,243,6,0,119,56.79,3,2015-12-09T00:00:00Z,SVP
"Dreifuss, Ruth",144,229,228,38,0,96,63.16,3,1993-03-10T00:00:00Z,SP
"Cassis, Ignazio",125,246,246,2,0,123,50.81,2,2017-09-20T00:00:00Z,FDP
"Widmer-Schlumpf, Eveline",125,246,246,4,0,122,50.81,2,2007-12-12T00:00:00Z,BPD
"Berset, Alain",126,245,245,0,0,123,51.43,2,2011-12-14T00:00:00Z,SP
"Merz, Hans-Rudolf",127,244,244,5,0,120,52.05,2,2003-12-10T00:00:00Z,FDP
