Cognome e nome,Numero di voti ottenuti,Schede distribuite,Schede consegnate,Schede in bianco,Maggioranza assoluta,Percentuale di voti,Turno,Data d'elezione,Partito
"Deiss, Joseph",120,244,244,5,120,49.18,6,1999-03-11T00:00:00Z,Il Centro
"Schmid, Samuel",121,244,244,10,117,49.59,6,2000-12-06T00:00:00Z,UDC
"Leuenberger, Moritz",124,244,244,33,106,50.82,5,1995-09-27T00:00:00Z,PS
"Calmy-Rey, Micheline",131,245,244,44,100,53.69,5,2002-12-04T00:00:00Z,PS
"Schneider-Ammann, Johann N.",144,245,245,6,119,58.78,5,2010-09-22T00:00:00Z,UDC
"Couchepin, Pascal",146,246,246,7,120,59.35,5,1998-03-11T00:00:00Z,PLR
"Bonvin, Roger",142,234,233,4,114,60.94,5,1962-09-07T00:00:00Z,Il Centro
"Metzler-Arnold, Ruth",126,245,244,0,123,51.64,4,1999-03-11T00:00:00Z,Il Centro
"Burkhalter, Didier",129,245,245,5,120,52.65,4,2009-09-16T00:00:00Z,PLR
"Sommaruga, Simonetta",159,245,245,3,121,64.9,4,2010-09-22T00:00:00Z,PS
"Blocher, Christoph",121,246,246,5,119,49.19,3,2003-12-10T00:00:00Z,UDC
"Maurer, Ueli",122,244,244,1,122,50,3,2008-12-10T00:00:00Z,UDC
"Baume-Schneider, Elisabeth",123,245,245,0,123,50.2,3,2022-12-07T00:00:00Z,PS
"Tschudi, Hans-Peter",129,235,235,5,116,54.89,3,1959-12-17T00:00:00Z,PS
"Parmelin, Guy",138,243,243,6,119,56.79,3,2015-12-09T00:00:00Z,UDC
"Dreifuss, Ruth",144,229,228,38,96,63.16,3,1993-03-10T00:00:00Z,PS
"Cassis, Ignazio",125,246,246,2,123,50.81,2,2017-09-20T00:00:00Z,PLR
"Widmer-Schlumpf, Eveline",125,246,246,4,122,50.81,2,2007-12-12T00:00:00Z,PBD
"Berset, Alain",126,245,245,0,123,51.43,2,2011-12-14T00:00:00Z,PS
"Merz, Hans-Rudolf",127,244,244,5,120,52.05,2,2003-12-10T00:00:00Z,PLR
