Nom et prénom,Date,Tour,Nombre de voix obtenues,Bulletins délivrés,Bulletins rentrés,Bulletins blancs,Bulletins nuls,Majorité absolue,Pourcentage des voix
"Feldmann, Markus , 1951",1951-12-13,1,184,232,230,27,1,102,80
"Gnägi, Rudolf , 1965",1965-12-15,1,176,242,239,23,1,108,73.64
"Schlumpf, Leon , 1979",1979-12-05,1,159,246,246,4,1,121,64.63
"Minger, Rudolf , 1929",1929-12-12,1,148,240,239,6,1,117,61.92
"von Steiger, Eduard , 1940",1940-12-10,1,130,226,226,0,0,114,57.52
"Ogi, Adolf , 1987",1987-12-09,2,132,245,245,4,0,121,53.88
"Wahlen, Friedrich Traugott , 1958",1958-12-11,2,125,236,235,5,0,116,53.19
"Widmer-Schlumpf, Eveline , 2007",2007-12-12,2,125,246,246,4,0,122,50.81
"Parmelin, Guy , 2015",2015-12-09,3,138,243,243,6,0,119,56.79
"Maurer, Ueli , 2008",2008-12-10,3,122,244,244,1,0,122,50
"Blocher, Christoph , 2003",2003-12-10,3,121,246,246,5,4,119,49.19
"Schmid, Samuel , 2000",2000-12-06,6,121,244,244,10,2,117,49.59
