Nom et prénom,Cognome e nome,Name Vorname,Nombre de voix obtenues,Anzahl erhaltene Stimmen,Numero di voti ottenuti,Bulletins délivrés,Ausgeteilte Wahlzettel,Schede distribuite,Bulletins rentrés,Eingegangene Wahlzettel,Schede consegnate,Bulletins blancs,Leer,Schede in bianco,Bulletins nuls,Ungültig,Schede nulle,Majorité absolue,Absolutes Mehr,Maggioranza assoluta,Pourcentage des voix,Stimmenanteil,Percentuale di voti,Tour,Wahlgang,Turno,Date,Datum,Data d'elezione,Partei,Parti
"Graber, Pierre , 1969","Graber, Pierre , 1969","Graber, Pierre , 1969",188,188,188,243,243,243,243,243,243,22,22,22,0,0,22,111,111,111,77.37,77.37,77.37,1,1,1,1969-12-10,1969-12-10,1969-12-10,SP,PS
"Felber, René , 1987","Felber, René , 1987","Felber, René , 1987",152,152,152,242,242,242,242,242,242,11,11,11,3,3,11,115,115,115,62.81,62.81,62.81,1,1,1,1987-12-09,1987-12-09,1987-12-09,SP,PS
"Spühler, Willy , 1959","Spühler, Willy , 1959","Spühler, Willy , 1959",149,149,149,238,238,238,238,238,238,12,12,12,0,0,12,114,114,114,62.61,62.61,62.61,1,1,1,1959-12-17,1959-12-17,1959-12-17,SP,PS
"Aubert, Pierre , 1977","Aubert, Pierre , 1977","Aubert, Pierre , 1977",139,139,139,239,239,239,239,239,239,7,7,7,0,0,7,117,117,117,58.16,58.16,58.16,1,1,1,1977-12-07,1977-12-07,1977-12-07,SP,PS
"Weber, Mas , 1951","Weber, Mas , 1951","Weber, Mas , 1951",133,133,133,234,234,234,233,233,233,22,22,22,1,1,22,106,106,106,57.08,57.08,57.08,1,1,1,1951-12-13,1951-12-13,1951-12-13,SP,PS
"Nobs, Ernst , 1943","Nobs, Ernst , 1943","Nobs, Ernst , 1943",122,122,122,233,233,233,233,233,233,0,0,0,52,52,0,91,91,91,52.36,52.36,52.36,1,1,1,1943-12-13,1943-12-13,1943-12-13,SP,PS
"Ritschard, Willi , 1973","Ritschard, Willi , 1973","Ritschard, Willi , 1973",123,123,123,242,242,242,242,242,242,1,1,1,0,0,1,121,121,121,50.83,50.83,50.83,1,1,1,1973-12-05,1973-12-05,1973-12-05,SP,PS
"Stich, Otto , 1983","Stich, Otto , 1983","Stich, Otto , 1983",124,124,124,246,246,246,246,246,246,2,2,2,0,0,2,123,123,123,50.41,50.41,50.41,1,1,1,1983-12-07,1983-12-07,1983-12-07,SP,PS
"Berset, Alain , 2011","Berset, Alain , 2011","Berset, Alain , 2011",126,126,126,245,245,245,245,245,245,0,0,0,0,0,0,123,123,123,51.43,51.43,51.43,2,2,2,2011-12-14,2011-12-14,2011-12-14,SP,PS
"Dreifuss, Ruth , 1993","Dreifuss, Ruth , 1993","Dreifuss, Ruth , 1993",144,144,144,229,229,229,228,228,228,38,38,38,0,0,38,96,96,96,63.16,63.16,63.16,3,3,3,1993-03-10,1993-03-10,1993-03-10,SP,PS
"Tschudi, Hans-Peter , 1959","Tschudi, Hans-Peter , 1959","Tschudi, Hans-Peter , 1959",129,129,129,235,235,235,235,235,235,5,5,5,0,0,5,116,116,116,54.89,54.89,54.89,3,3,3,1959-12-17,1959-12-17,1959-12-17,SP,PS
"Baume-Schneider, Elisabeth , 2022","Baume-Schneider, Elisabeth , 2022","Baume-Schneider, Elisabeth , 2022",123,123,123,245,245,245,245,245,245,0,0,0,0,0,0,123,123,123,50.2,50.2,50.2,3,3,3,2022-12-07,2022-12-07,2022-12-07,SP,PS
"Sommaruga, Simonetta , 2010","Sommaruga, Simonetta , 2010","Sommaruga, Simonetta , 2010",159,159,159,245,245,245,245,245,245,3,3,3,2,2,3,121,121,121,64.9,64.9,64.9,4,4,4,2010-09-22,2010-09-22,2010-09-22,SP,PS
"Calmy-Rey, Micheline , 2002","Calmy-Rey, Micheline , 2002","Calmy-Rey, Micheline , 2002",131,131,131,245,245,245,244,244,244,44,44,44,1,1,44,100,100,100,53.69,53.69,53.69,5,5,5,2002-12-04,2002-12-04,2002-12-04,SP,PS
"Leuenberger, Moritz , 1995","Leuenberger, Moritz , 1995","Leuenberger, Moritz , 1995",124,124,124,244,244,244,244,244,244,33,33,33,1,1,33,106,106,106,50.82,50.82,50.82,5,5,5,1995-09-27,1995-09-27,1995-09-27,SP,PS
